id,block,response,time_response,reward,points,key_a,key_s
3.000,1.000,2.000,0.987,0.000,0.000,0.793,0.830
3.000,1.000,1.000,1.584,0.000,0.000,0.712,0.763
3.000,1.000,1.000,2.250,1.000,10.000,0.760,0.816
3.000,1.000,1.000,2.862,1.000,20.000,0.839,0.746
3.000,1.000,2.000,3.433,0.000,20.000,0.760,0.678
3.000,1.000,1.000,3.979,1.000,30.000,0.807,0.651
3.000,1.000,1.000,4.536,0.000,30.000,0.793,0.612
3.000,1.000,2.000,5.107,1.000,40.000,0.706,0.548
3.000,1.000,1.000,5.628,0.000,40.000,0.636,0.526
3.000,1.000,1.000,6.245,1.000,50.000,0.590,0.610
